Date,Open,High,Low,Close,Vol.,Change %,ATR(14),movingstddevclose,movingstddevatr
"Jul 26, 2018",161.95,162.37,161.88,162.18,546.25K,-0.12%,0.5171428571428598,1.506725071222996,0.26214581327240216
"Jul 27, 2018",162.05,162.23,161.97,162.07,450.08K,-0.07%,0.5021428571428592,1.4414571593143966,0.26252023437818683
"Jul 30, 2018",162.13,162.3,161.33,161.43,631.43K,-0.39%,0.5464285714285718,1.3482326993515024,0.2620392630893132
"Jul 31, 2018",161.9,162.05,161.41,161.58,692.91K,0.09%,0.5621428571428575,1.266871783568942,0.2616972240555768
"Aug 01, 2018",161.42,161.45,160.86,160.91,690.87K,-0.41%,0.5871428571428571,1.1626148418288007,0.2608968517331239
"Aug 02, 2018",161.16,161.55,161.05,161.26,679.54K,0.22%,0.5928571428571436,1.0894858031037273,0.2606405642986077
"Aug 03, 2018",161.37,162.12,161.37,162.05,668.42K,0.49%,0.6157142857142881,1.0368701391856854,0.2604507954789417
"Aug 06, 2018",162.01,162.38,161.83,162.35,352.12K,0.19%,0.6242857142857149,0.9631140530828264,0.2604892542056941
"Aug 07, 2018",162.23,162.39,161.97,162.01,341.62K,-0.21%,0.6221428571428577,0.921401209397723,0.260566288040787
"Aug 08, 2018",162.04,162.27,161.96,162.11,347.53K,0.06%,0.6042857142857149,0.8945305504345372,0.2612528929214216
"Aug 09, 2018",162.27,162.62,162.22,162.5,445.90K,0.24%,0.5728571428571436,0.8907650273963851,0.2626452235946585
"Aug 10, 2018",162.69,163.45,162.69,163.34,754.29K,0.52%,0.6000000000000004,0.9122447758674593,0.2635383117155742
"Aug 13, 2018",163.46,163.62,163.22,163.36,647.39K,0.01%,0.5921428571428565,0.9255216105378968,0.26307676861771667
"Aug 14, 2018",163.35,163.35,163.11,163.21,434.95K,-0.09%,0.5692857142857142,0.9417169890639115,0.26109234719763424
"Aug 15, 2018",163.33,163.82,163.1,163.71,506.86K,0.31%,0.5857142857142849,0.9713805581128228,0.25693708698174755
"Aug 16, 2018",163.41,163.67,163.36,163.49,402.82K,-0.13%,0.5921428571428565,0.9899149036267791,0.2516997002253688
"Aug 17, 2018",163.53,163.88,163.42,163.67,435.26K,0.11%,0.5557142857142858,1.0022895522807218,0.24605890002217642
"Aug 20, 2018",163.65,163.74,163.42,163.73,354.62K,0.04%,0.5328571428571435,1.0235683359527614,0.23975002223428407
"Aug 21, 2018",163.6,163.71,163.17,163.24,469.57K,-0.30%,0.5214285714285722,1.0011724259164443,0.2303925580251353
"Aug 22, 2018",163.36,163.45,162.91,163.0,597.13K,-0.15%,0.5142857142857135,0.940160713026013,0.22099588030051343
"Aug 23, 2018",163.22,163.23,162.93,163.06,454.72K,0.04%,0.4742857142857112,0.9116223702346653,0.20868062013704497
"Aug 24, 2018",163.01,163.16,162.8,163.09,500.67K,0.02%,0.4607142857142828,0.8471390789874865,0.19412374415609288
"Aug 27, 2018",163.17,163.36,162.55,162.64,391.91K,-0.28%,0.4885714285714267,0.7741501505688356,0.1784363770032839
"Aug 28, 2018",162.67,162.87,162.35,162.52,815.85K,-0.07%,0.5035714285714273,0.7039390270037275,0.16173090935881265
"Aug 29, 2018",162.62,162.68,162.1,162.18,708.02K,-0.21%,0.5085714285714289,0.663001138862584,0.14122195836234297
"Aug 30, 2018",162.28,163.08,162.13,162.98,865.70K,0.49%,0.5085714285714309,0.6411860080005289,0.1215616258918053
"Aug 31, 2018",162.92,163.32,162.83,163.27,1.04M,0.18%,0.5150000000000006,0.6214983810086687,0.10887112317821371
"Sep 03, 2018",163.19,163.49,163.04,163.21,1.25M,-0.04%,0.529285714285716,0.6119421831349439,0.09847219668885711
"Sep 04, 2018",163.21,163.22,162.8,162.87,1.47M,-0.21%,0.5078571428571438,0.5951882530797167,0.09086602857404062
"Sep 05, 2018",162.88,163.03,162.28,162.44,489.97K,-0.26%,0.5364285714285728,0.5923836710249762,0.08196686638992666
"Sep 06, 2018",162.48,162.7,162.45,162.62,29.85K,0.11%,0.5221428571428574,0.5882809943404589,0.07288682164213549
"Sep 07, 2018",160.42,160.43,159.83,159.95,568.74K,-1.64%,0.6985714285714266,0.6893322354408787,0.06616288199721813
"Sep 10, 2018",159.94,160.1,159.52,159.69,607.67K,-0.16%,0.6999999999999967,0.7907382507077675,0.0632184317783675
"Sep 11, 2018",159.67,159.67,159.23,159.3,612.07K,-0.24%,0.6942857142857122,0.9041047206558795,0.06055604080339088
"Sep 12, 2018",159.35,159.8,159.34,159.63,669.39K,0.21%,0.7085714285714276,0.9832227134596941,0.06198653801126402
"Sep 13, 2018",159.71,159.78,159.26,159.46,676.49K,-0.11%,0.7200000000000009,1.0620920806131593,0.0639988608549619
"Sep 14, 2018",159.5,159.54,159.01,159.17,558.07K,-0.18%,0.7000000000000008,1.1464985280901672,0.06526702139172047
"Sep 17, 2018",159.28,159.29,158.84,159.02,489.77K,-0.09%,0.6949999999999993,1.2283082654483803,0.06631618203898687
"Sep 18, 2018",159.07,159.26,158.66,158.74,650.23K,-0.18%,0.6964285714285694,1.3157320940816426,0.06853922574176263
"Sep 19, 2018",158.67,158.87,158.42,158.62,704.49K,-0.08%,0.6607142857142837,1.3984866033946963,0.06963608947235266
"Sep 20, 2018",158.73,158.93,158.38,158.74,734.23K,0.08%,0.6650000000000001,1.4663800463221583,0.07076595044336266
"Sep 21, 2018",158.75,159.1,158.68,159.0,530.18K,0.16%,0.6628571428571409,1.5196263769909328,0.0718819010187041
"Sep 24, 2018",159.03,159.14,158.21,158.32,745.99K,-0.43%,0.6992857142857117,1.5959029589444802,0.07396070003408108
"Sep 25, 2018",158.21,158.21,157.75,157.87,783.45K,-0.28%,0.6864285714285684,1.6828092153735272,0.07527526178353998
"Sep 26, 2018",157.92,158.49,157.89,158.04,518.05K,0.11%,0.7121428571428551,1.7518442712763516,0.07714752499197441
"Sep 27, 2018",158.56,158.79,158.02,158.06,861.14K,0.01%,0.5678571428571401,1.8104293323892107,0.07679177409335557
"Sep 28, 2018",158.54,159.25,158.4,158.79,1.05M,0.46%,0.6114285714285695,1.8459194804113843,0.07642449763778295
"Oct 01, 2018",158.74,158.99,158.37,158.77,736.06K,-0.01%,0.6228571428571408,1.8741697439694305,0.0759752324701065
"Oct 02, 2018",159.06,159.78,159.0,159.52,901.21K,0.47%,0.6592857142857115,1.8806522817607119,0.07591706638400642
"Oct 03, 2018",159.17,159.46,158.21,158.93,840.41K,-0.37%,0.7157142857142824,1.8950806889444407,0.07672529144650972
"Oct 04, 2018",157.99,158.48,157.74,158.04,1.04M,-0.56%,0.7628571428571392,1.93873918015429,0.07963968925887063
"Oct 05, 2018",158.03,158.12,157.33,157.61,848.35K,-0.27%,0.7871428571428538,1.9962106309952454,0.08315732492931255
"Oct 08, 2018",157.56,158.23,157.5,157.95,591.26K,0.22%,0.7964285714285678,2.036447498389474,0.08664410832501633
"Oct 09, 2018",157.95,158.18,157.61,158.09,880.49K,0.09%,0.8049999999999946,2.067862852917621,0.0898493173057273
"Oct 10, 2018",158.1,158.16,157.45,157.88,759.65K,-0.13%,0.8164285714285658,2.103606309137587,0.09312209839774828
"Oct 11, 2018",158.33,158.71,158.12,158.35,927.37K,0.30%,0.8457142857142819,2.125666590889884,0.09682248748568664
"Oct 12, 2018",158.16,158.74,157.95,158.53,584.15K,0.11%,0.8357142857142849,2.14701034561524,0.10044689003587605
"Oct 15, 2018",158.66,158.87,158.46,158.59,428.87K,0.04%,0.8242857142857137,2.1646426927835796,0.10348027008018598
"Oct 16, 2018",158.49,158.81,158.34,158.72,578.94K,0.08%,0.8135714285714276,2.1816761918967864,0.10613603010359146
"Oct 17, 2018",158.73,159.24,158.72,159.16,681.73K,0.28%,0.7957142857142868,2.190034677075319,0.10810500079272238
"Oct 18, 2018",158.89,159.94,158.82,159.52,832.96K,0.23%,0.7907142857142873,2.1866151499786,0.10993841615803787
"Oct 19, 2018",159.78,160.08,159.07,159.4,1.04M,-0.08%,0.8185714285714312,2.1790291162780773,0.11242217319689327
"Oct 22, 2018",159.07,159.52,158.84,159.34,655.44K,-0.04%,0.7950000000000037,2.1755691962662884,0.11412309125207853
"Oct 23, 2018",159.55,159.98,159.43,159.79,765.60K,0.28%,0.7471428571428598,2.166076939579016,0.11467193291475238
"Oct 24, 2018",159.67,160.35,159.66,160.18,729.99K,0.24%,0.7114285714285741,2.147736624115889,0.11437780571980874
"Oct 25, 2018",160.29,160.33,159.83,160.16,681.40K,-0.01%,0.6907142857142888,2.1092693168519614,0.11420120477813546
"Oct 26, 2018",160.32,160.9,160.22,160.87,865.94K,0.44%,0.6914285714285759,2.069194074030428,0.113919978736637
"Oct 29, 2018",160.62,160.79,160.06,160.35,729.93K,-0.32%,0.7085714285714337,2.0297874450241005,0.11340693951193073
"Oct 30, 2018",160.35,160.56,159.96,160.44,752.80K,0.06%,0.70071428571429,1.9728021410953396,0.11301868044497168
"Oct 31, 2018",160.2,160.37,160.01,160.26,660.23K,-0.11%,0.6721428571428609,1.9192944432857957,0.11257527339711892
"Nov 01, 2018",160.23,160.27,159.75,159.98,649.79K,-0.17%,0.6528571428571459,1.8557519699205995,0.1115508708093932
"Nov 02, 2018",159.72,159.81,159.45,159.63,658.08K,-0.22%,0.6614285714285748,1.7856542236079855,0.1099769304638232
"Nov 05, 2018",159.6,159.91,159.58,159.74,480.07K,0.07%,0.6514285714285738,1.7281380373599253,0.10806513721614479
"Nov 06, 2018",159.71,160.04,159.61,159.7,525.13K,-0.03%,0.6450000000000001,1.674963583153785,0.10589406682063031
"Nov 07, 2018",159.82,159.89,159.28,159.5,615.10K,-0.13%,0.6085714285714273,1.6159079029459857,0.10261705852180553
"Nov 08, 2018",159.29,159.51,159.19,159.37,535.80K,-0.08%,0.5592857142857112,1.551011121704236,0.09951769055103543
"Nov 09, 2018",159.43,160.07,159.43,160.03,578.86K,0.41%,0.5607142857142813,1.4984404774398257,0.09736946542328756
"Nov 12, 2018",159.95,160.45,159.93,160.29,497.50K,0.16%,0.5521428571428524,1.448685903003876,0.09591606638670062
"Nov 13, 2018",160.19,160.42,159.98,160.08,777.66K,-0.13%,0.5342857142857095,1.4068479817965385,0.09510133280899127
"Nov 14, 2018",160.36,160.47,159.96,160.14,709.58K,0.04%,0.5349999999999946,1.3291605564285607,0.09425596470409783
"Nov 15, 2018",160.14,160.92,160.07,160.81,1.05M,0.42%,0.5428571428571364,1.2383216589790802,0.09339399203741354
"Nov 16, 2018",160.54,160.76,160.54,160.65,590.15K,-0.10%,0.5042857142857083,1.1388013976720757,0.09422885816324532
"Nov 19, 2018",160.73,160.73,160.24,160.6,613.08K,-0.03%,0.4964285714285645,1.0487939398002177,0.09464065755466758
"Nov 20, 2018",160.64,161.04,160.54,160.89,777.05K,0.18%,0.501428571428564,0.9836397561154441,0.0957721595410826
"Nov 21, 2018",160.71,160.78,160.48,160.58,627.43K,-0.19%,0.4935714285714202,0.8920247620442759,0.09674444859586526
"Nov 22, 2018",160.7,160.87,160.53,160.63,436.79K,0.03%,0.4799999999999918,0.905370574410615,0.10050340089502585
