Date,Open,High,Low,Close,Vol.,Change %
"Jul 07, 2021",173.6,174.27,173.46,174.02,782.43K,0.24%
"Jul 06, 2021",172.72,173.65,172.49,173.6,753.36K,0.52%
"Jul 05, 2021",173.12,173.18,172.65,172.7,344.34K,-0.23%
"Jul 02, 2021",172.62,173.19,172.54,173.09,692.35K,0.32%
"Jul 01, 2021",172.5,172.69,172.22,172.54,666.57K,-0.04%
"Jun 30, 2021",172.13,172.74,171.98,172.61,724.06K,0.31%
"Jun 29, 2021",172.25,172.33,171.86,172.07,666.53K,-0.11%
"Jun 28, 2021",171.79,172.34,171.71,172.26,496.38K,0.29%
"Jun 25, 2021",172.24,172.3,171.68,171.77,551.49K,-0.32%
"Jun 24, 2021",172.21,172.39,171.88,172.33,573.16K,0.09%
"Jun 23, 2021",172.02,172.46,171.76,172.17,686.92K,0.13%
"Jun 22, 2021",172.12,172.2,171.67,171.95,677.71K,-0.12%
"Jun 21, 2021",172.69,173.03,171.93,172.16,770.50K,-0.25%
"Jun 18, 2021",172.47,172.88,172.36,172.6,826.46K,0.09%
"Jun 17, 2021",171.97,172.7,171.8,172.44,802.66K,-0.05%
"Jun 16, 2021",172.3,172.66,171.91,172.53,555.13K,0.12%
"Jun 15, 2021",172.62,172.8,172.25,172.32,686.03K,-0.19%
"Jun 14, 2021",172.91,173.04,172.52,172.64,440.45K,-0.14%
"Jun 11, 2021",172.87,173.16,172.79,172.88,570.97K,0.20%
"Jun 10, 2021",172.55,172.88,171.97,172.53,796.97K,-0.02%
"Jun 09, 2021",172.11,172.85,172.08,172.56,715.68K,1.37%
"Jun 08, 2021",170.15,170.35,170.09,170.23,16.19K,0.06%
"Jun 07, 2021",170.29,170.4,170.05,170.12,156.25K,-0.12%
"Jun 04, 2021",169.9,170.43,169.84,170.33,753.54K,0.23%
"Jun 03, 2021",170.17,170.2,169.81,169.94,1.17M,-0.12%
"Jun 02, 2021",169.92,170.2,169.88,170.15,1.33M,0.19%
"Jun 01, 2021",170.06,170.15,169.68,169.83,1.18M,-0.06%
"May 31, 2021",169.87,170.08,169.48,169.94,487.14K,0.00%
"May 28, 2021",169.81,170.08,169.53,169.94,731.71K,0.09%
"May 27, 2021",170.3,170.38,169.68,169.79,784.83K,-0.29%
"May 26, 2021",169.88,170.4,169.69,170.29,872.00K,0.35%
"May 25, 2021",169.37,169.92,169.29,169.69,819.33K,0.22%
"May 24, 2021",169.18,169.41,169.02,169.32,465.55K,0.11%
"May 21, 2021",168.82,169.31,168.75,169.14,770.58K,0.18%
"May 20, 2021",168.63,168.92,168.48,168.84,705.69K,-0.04%
"May 19, 2021",168.76,169.12,168.29,168.9,1.01M,0.05%
"May 18, 2021",168.83,169.14,168.69,168.82,842.70K,-0.02%
"May 17, 2021",169.13,169.35,168.67,168.86,778.72K,-0.07%
"May 14, 2021",169.02,169.21,168.77,168.98,739.61K,0.05%
"May 13, 2021",168.8,169.08,168.59,168.89,801.72K,-0.03%
